127.0.0.1 - - [22/Apr/2023:13:03:31 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:01 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:02 +0700] "GET /CountryWeb/th.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:02 +0700] "GET /CountryWeb/en.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:02 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:05 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:08 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 5345
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:17 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 5345
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:20 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:22 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:23 +0700] "GET /CountryWeb/testTH.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 15050
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:05:36 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 8575
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:06:31 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:06:39 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 21843
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:07:49 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:07:50 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:07:51 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:08:48 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:08:49 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:08:51 +0700] "GET /CountryWeb/ENCountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:06 +0700] "GET /CountryWeb/testTH.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:08 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:09 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:09 +0700] "GET /CountryWeb/testTH.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:10 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:11 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:29 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:29 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:29 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:30 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:30 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:31 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:33 +0700] "GET /CountryWeb/testTH.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:09:34 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:25 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:27 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:27 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:28 +0700] "POST /CountryWeb/THCountry HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:29 +0700] "GET /CountryWeb/testTH.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:30 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:31 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:31 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:31 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:32 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:32 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:32 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:10:32 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:09 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:10 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:11 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:11 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:11 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:11 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:11 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:12 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:12 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:12 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:12 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:12 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:17 +0700] "GET /CountryWeb/testEN.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:18 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:11:35 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 32825
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:12:30 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 32825
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:12:33 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:12:35 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:12:35 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2023:13:12:36 +0700] "POST /CountryWeb/ENCountry HTTP/1.1" 200 3666
